# hx E0 deltaE VOP EOP
8.333333333333333703e-01 -1.173639479417100562e+00 7.925998045164200576e-03 7.007269505737609427e-02 1.967022375913557442e-01
8.349999999999999645e-01 -1.174356762941868082e+00 7.975377130247929269e-03 8.111621672308877429e-02 2.260346932255127839e-01
8.366666666666666696e-01 -1.175081534760101576e+00 8.020128122529860890e-03 9.083076574057452612e-02 2.512854330980370809e-01
8.383333333333333748e-01 -1.175813655327834661e+00 8.060382836410267052e-03 9.960564531309303027e-02 2.736168457274517629e-01
8.399999999999999689e-01 -1.176552990247296204e+00 8.096268511862528272e-03 1.076705701371222373e-01 2.937215617510917087e-01
8.416666666666666741e-01 -1.177299409963565413e+00 8.127908084633799629e-03 1.151745289143191187e-01 3.120531046182004609e-01
8.433333333333332682e-01 -1.178052789485856566e+00 8.155420434640599583e-03 1.222206617354942570e-01 3.289283350127164551e-01
8.449999999999999734e-01 -1.178813008130862983e+00 8.178920615055599447e-03 1.288838681689093157e-01 3.445793961308361020e-01
8.466666666666666785e-01 -1.179579949285960438e+00 8.198520063881886699e-03 1.352205720340362016e-01 3.591826485729927576e-01
8.483333333333332726e-01 -1.180353500190340021e+00 8.214326799842141397e-03 1.412745320119219161e-01 3.728759663673510971e-01
8.499999999999999778e-01 -1.181133551732363118e+00 8.226445603774326307e-03 1.470804949777634041e-01 3.857696617914574966e-01
8.499999999999999778e-01 -1.181133551732363562e+00 8.226445603773953341e-03 1.470804949777477499e-01 3.857696617914245230e-01
9.218750000000000000e-01 -1.219802389158288314e+00 6.383809023368719124e-03 3.058589167020171473e-01 6.535022588380596797e-01
9.937499999999999112e-01 -1.265545097965303123e+00 2.959938622541021403e-03 4.044485584532322986e-01 7.556193620736197936e-01
1.065625000000000044e+00 -1.316002264621528361e+00 1.436877796586363094e-03 4.802937598939256980e-01 8.127202948314042885e-01
1.137499999999999956e+00 -1.369871692995746848e+00 8.291062504185635167e-04 5.426433062217997927e-01 8.496191652381578363e-01
1.209375000000000089e+00 -1.426332194205658377e+00 5.160197371385786321e-04 5.956661363823645416e-01 8.754806699727795127e-01
1.281250000000000000e+00 -1.484825368098501297e+00 3.376571618509849218e-04 6.417190494310597293e-01 8.945936259079806385e-01
1.353124999999999911e+00 -1.544952086570052119e+00 2.293387977144503687e-04 6.823103112147052007e-01 9.092624259580410762e-01
1.424999999999999822e+00 -1.606416578755489377e+00 1.604366547363150167e-04 7.184834491192936268e-01 9.208450407003330174e-01
1.496874999999999956e+00 -1.668993514270446621e+00 1.149980948802970183e-04 7.509998780257473028e-01 9.301969048385676508e-01
1.568750000000000089e+00 -1.732507389907700590e+00 8.414166350697378956e-05 7.804368837108455192e-01 9.378848873795695429e-01
1.640625000000000000e+00 -1.796819001857056897e+00 6.266685801791507186e-05 8.072449645870868329e-01 9.442999277045969198e-01
1.712499999999999911e+00 -1.861816233742223048e+00 4.740378999712726508e-05 8.317836687872293133e-01 9.497204919705080073e-01
1.784374999999999822e+00 -1.927407592375247392e+00 3.635532253424070270e-05 8.543451699793350729e-01 9.543503098403354201e-01
1.856249999999999734e+00 -1.993517556898320109e+00 2.822753219550141592e-05 8.751704254629851798e-01 9.583418306726804170e-01
1.928125000000000089e+00 -2.060083160970808791e+00 2.216167684279505773e-05 8.944606258165996859e-01 9.618113510535637456e-01
2.000000000000000000e+00 -2.127051434850277811e+00 1.757571009624624890e-05 9.123855349014282634e-01 9.648490807935417024e-01
