# hx E0 deltaE VOP EOP
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.551115123125782702e-16
5.000000000000000278e-02 -1.000624999999999654e+00 9.765630059589993467e-08 1.576061299843013158e-16 -6.661338147750939243e-16
1.000000000000000056e-01 -1.002499999999998836e+00 1.562512855859135368e-06 1.054558607328296513e-09 4.355737437400364342e-10
1.500000000000000222e-01 -1.005624999999999103e+00 7.910486895492081577e-06 2.589479524130106871e-10 -5.848647677275664591e-10
2.000000000000000111e-01 -1.010000000000000231e+00 2.500331994638957004e-05 3.626027698266877220e-12 -9.608980278130729857e-14
2.500000000000000000e-01 -1.015624999999999778e+00 6.105508091144250780e-05 4.765730219351209304e-11 -2.932676324007843505e-11
3.000000000000000444e-01 -1.022499999999999742e+00 1.266489172950259999e-04 3.164283624521389602e-14 -4.054534485931071686e-13
3.500000000000000333e-01 -1.030624999999999680e+00 2.347724285230749156e-04 1.734054396603135541e-10 3.224080447061794530e-10
4.000000000000000222e-01 -1.040000000000000036e+00 4.008836853490751161e-04 5.872332218371304991e-11 2.236227869545359681e-11
4.500000000000000111e-01 -1.050624999999999920e+00 6.430249721020409688e-04 7.355899206563355515e-09 1.338208399648266322e-08
5.000000000000000000e-01 -1.062500000000000222e+00 9.820088033644183180e-04 1.335078570906703631e-09 3.955350091899845211e-08
5.500000000000000444e-01 -1.075625000000000053e+00 1.441712506082154423e-03 4.797676059438220438e-09 -1.157459772471725046e-08
6.000000000000000888e-01 -1.090000000000000302e+00 2.049537150941432243e-03 1.025240719601033053e-10 3.845812557301542256e-11
6.500000000000000222e-01 -1.105624999999999636e+00 2.837120844852475572e-03 5.557529909096612220e-10 1.058004683862634465e-09
7.000000000000000666e-01 -1.122499999999999609e+00 3.841460296038932618e-03 7.080747676881944265e-11 -1.771331414879284694e-10
7.500000000000000000e-01 -1.140625000000000000e+00 5.106722860522685398e-03 3.590832476447685661e-09 -8.144902363671491230e-09
8.000000000000000444e-01 -1.159999999999999254e+00 6.687313696077949905e-03 1.077580642680741604e-08 -1.877421107465693240e-09
8.000000000000000444e-01 -1.160000000000000142e+00 6.687313696077189229e-03 3.192009045082578814e-08 8.802256501461158678e-08
8.016666666666667496e-01 -1.160667361111110241e+00 6.746191465029976672e-03 6.620149594341634388e-08 1.848640951429558754e-07
8.033333333333333437e-01 -1.161336111111110903e+00 6.805498251184045888e-03 1.297383139252441362e-09 -2.143911714824753290e-10
8.050000000000000488e-01 -1.162006249999999685e+00 6.865237062017693660e-03 5.489144509382504668e-09 2.850099722895294008e-08
8.066666666666667540e-01 -1.162677777777775256e+00 6.925410937303515951e-03 1.084106202649912814e-07 3.043938687774527807e-07
8.083333333333333481e-01 -1.163350694444444278e+00 6.986022949597841918e-03 5.860574362287910584e-09 -1.334674931685597699e-08
8.100000000000000533e-01 -1.164025000000000087e+00 7.047076205032636910e-03 2.917670084741696168e-08 8.212896607240338653e-08
8.116666666666666474e-01 -1.164700694444443574e+00 7.108573843957236536e-03 2.009587222704166486e-08 5.598088426150837904e-08
8.133333333333333526e-01 -1.165377777777777402e+00 7.170519041591965313e-03 1.475616149733784173e-08 3.074998777830018071e-08
8.150000000000000577e-01 -1.166056249999999128e+00 7.232915008730938199e-03 4.041812000269732701e-08 1.144673715258726077e-07
8.166666666666666519e-01 -1.166736111111110974e+00 7.295764992570514217e-03 2.287657861305057243e-08 6.477728864417997556e-08
8.183333333333333570e-01 -1.167417361111110496e+00 7.359072277365930059e-03 2.918731178001070606e-08 8.287213787427916145e-08
8.200000000000000622e-01 -1.168099999999999472e+00 7.422840185271551566e-03 7.146611255693793584e-08 2.033989737748598259e-07
8.216666666666666563e-01 -1.168784027777778123e+00 7.487072077052786025e-03 1.243717135124600829e-07 3.545989787356873535e-07
8.233333333333333615e-01 -1.169469444444444228e+00 7.551771353040571261e-03 1.653039939826205652e-07 4.721082119685249268e-07
8.249999999999999556e-01 -1.170156249999997122e+00 7.616941453878117718e-03 3.630574957344275290e-07 1.038667106101343052e-06
8.266666666666666607e-01 -1.170844444444440136e+00 7.682585861453641515e-03 8.798084194457604824e-07 2.521354943774145596e-06
8.283333333333333659e-01 -1.171534027777776821e+00 7.748708099768825998e-03 2.174416222638867472e-06 6.242145628332362861e-06
8.299999999999999600e-01 -1.172226845891091163e+00 7.813749352493864000e-03 3.123891056586346540e-02 8.948386413716952204e-02
8.316666666666666652e-01 -1.172929829206732943e+00 7.871854184265593413e-03 5.693255376369991960e-02 1.610188501661885541e-01
