# g E0 dE/E VOP ZXZ X
3.187096774193548532e-01 -1.025393964620185061e+00 1.613540989724507324e-04 9.857742786351871840e-10 9.746060353689081079e-01 1.593548387438846470e-01
3.432258064516129359e-01 -1.029450988553585633e+00 2.170961626433013433e-04 3.317683715721961594e-08 9.705490202968416469e-01 1.716128774397627510e-01
3.677419354838709631e-01 -1.033808532778353939e+00 2.862013730292743328e-04 1.723559820217711679e-08 9.661914672383842273e-01 1.838709676964108142e-01
3.922580645161290458e-01 -1.038466597294481986e+00 3.706739363417537185e-04 1.940906484014250216e-08 9.615334026576938253e-01 1.961290323799734781e-01
4.167741935483871285e-01 -1.043425182101983539e+00 4.726700766987441569e-04 4.957944669423704780e-09 9.565748179158356512e-01 2.083870967314495060e-01
4.412903225806451557e-01 -1.048684287200831955e+00 5.945033987983729291e-04 1.473819661188717517e-08 9.513157115076547043e-01 2.206451642169879879e-01
4.658064516129032384e-01 -1.054243912591050769e+00 7.386516221776716871e-04 1.871129809195559442e-08 9.457560874044702581e-01 2.329032258160654567e-01
4.903225806451613211e-01 -1.060104058272631322e+00 9.077649888870763153e-04 8.579700824974882568e-10 9.398959417673123928e-01 2.451612902411121619e-01
5.148387096774194038e-01 -1.066264724245577389e+00 1.104676717322862099e-03 1.004232202309062927e-08 9.337352757742288789e-01 2.574193548002373100e-01
5.393548387096774865e-01 -1.072725910509883418e+00 1.332415969156379703e-03 1.463408742975951523e-08 9.272740894444831961e-01 2.696774194394328528e-01
5.638709677419354582e-01 -1.079487617065555627e+00 1.594223920391476005e-03 1.719761100198245625e-09 9.205123829401510305e-01 2.819354838608423841e-01
5.883870967741935409e-01 -1.086549843912588020e+00 1.893573695092125525e-03 1.135090314401254406e-08 9.134501560237047180e-01 2.941935484953641100e-01
6.129032258064516236e-01 -1.093912591050987704e+00 2.234195142971661004e-03 1.017689114073536533e-08 9.060874088766598389e-01 3.064516130212716072e-01
6.374193548387097064e-01 -1.101575858480746239e+00 2.620105810432527688e-03 5.658392287581463274e-09 8.984241414778967316e-01 3.187096774842310132e-01
6.619354838709677891e-01 -1.109539646201870289e+00 3.055649723563058986e-03 6.044419780346925702e-09 8.904603537683835057e-01 3.309677419804141207e-01
6.864516129032258718e-01 -1.117803954214358519e+00 3.545546613707290830e-03 4.472692499270229169e-09 8.821960458164676000e-01 3.432258064067011949e-01
7.109677419354838435e-01 -1.126368782518209599e+00 4.094954715001533282e-03 3.718185648470006763e-08 8.736312168652918819e-01 3.554838718348670712e-01
7.354838709677419262e-01 -1.135234131113422196e+00 4.709552079149949277e-03 4.680599146599702500e-08 8.647658690041101215e-01 3.677419353240665156e-01
7.600000000000000089e-01 -1.144399999999998307e+00 5.395643426812180531e-03 1.846166160496822772e-09 8.555999999864699612e-01 3.800000000178028747e-01
7.656666666666667176e-01 -1.146561361111108290e+00 5.565129838292293477e-03 4.569505966429580175e-08 8.534386394587659685e-01 3.828333325890433958e-01
7.713333333333333153e-01 -1.148738777777777553e+00 5.738903830075144097e-03 3.327060949315254615e-08 8.512612227467748482e-01 3.856666659866059832e-01
7.770000000000000240e-01 -1.150932250000000989e+00 5.917062298556104161e-03 1.780000381531386447e-08 8.490677501114753944e-01 3.884999998565299428e-01
7.826666666666667327e-01 -1.153141777777774823e+00 6.099705184052771692e-03 2.809880265585852635e-08 8.468582221539961985e-01 3.913333334205058578e-01
7.883333333333333304e-01 -1.155367361111109048e+00 6.286935656177770546e-03 9.494178570653604645e-10 8.446326389067464468e-01 3.941666666440133970e-01
7.940000000000000391e-01 -1.157608999999998778e+00 6.478860304660060548e-03 3.453990990990578528e-08 8.423910001949664883e-01 3.969999997544491066e-01
7.996666666666666368e-01 -1.159866694444443125e+00 6.675589361826681466e-03 3.777954011556777946e-09 8.401333053802602091e-01 3.998333335525416921e-01
8.053333333333333455e-01 -1.162140444444443643e+00 6.877236933972390859e-03 3.826206897092614425e-08 8.378595555332380984e-01 4.026666666943777284e-01
8.110000000000000542e-01 -1.164430250000000333e+00 7.083921259949037957e-03 1.596979754154745248e-08 8.355697498704948156e-01 4.055000001596845705e-01
8.166666666666666519e-01 -1.166736111111110530e+00 7.295764992574080808e-03 1.415126553800892215e-09 8.332638888740471206e-01 4.083333333515037356e-01
8.223333333333333606e-01 -1.169058027777773567e+00 7.512895509575068242e-03 2.130982363237618824e-07 8.309419725883738783e-01 4.111666662214035206e-01
8.280000000000000693e-01 -1.171395999995060944e+00 7.735445259241432656e-03 4.415014463573639392e-05 8.286040029021124464e-01 4.139999964926077136e-01
8.336666666666666670e-01 -1.173782330179259592e+00 7.936250597767310205e-03 7.241583326346842653e-02 8.161317630762414677e-01 4.290090768928664922e-01
8.393333333333333757e-01 -1.176256398953949178e+00 8.082430564976011977e-03 1.045189708366771747e-01 8.035649381501406285e-01 4.440327173992931753e-01
8.449999999999999734e-01 -1.178813008130865425e+00 8.178920615060401161e-03 1.288838681689097598e-01 7.916683113328282229e-01 4.581594044947178146e-01
8.506666666666666821e-01 -1.181447368749789950e+00 8.230283387280330765e-03 1.493399247810349162e-01 7.803668988932320749e-01 4.714895805523823813e-01
8.563333333333333908e-01 -1.184155210428470939e+00 8.240621200183616268e-03 1.673210362444017274e-01 7.695986084151360540e-01 4.841065807862989789e-01
8.619999999999999885e-01 -1.186932695888747169e+00 8.213652740854209683e-03 1.835510527676864345e-01 7.593113303236052047e-01 4.960804704932024189e-01
8.676666666666666972e-01 -1.189776354078566634e+00 8.152773412144216636e-03 1.984558555325814100e-01 7.494608232480952648e-01 5.074708384523310967e-01
8.733333333333334059e-01 -1.192683026973885729e+00 8.061103680018211898e-03 2.123111118086097315e-01 7.400091419148160377e-01 5.183288760218331959e-01
8.790000000000000036e-01 -1.195649826647894765e+00 7.941528446518967416e-03 2.253073828817580282e-01 7.309234504295855084e-01 5.286989490538214209e-01
8.846666666666667123e-01 -1.198674100183164448e+00 7.796729609675226609e-03 2.375829200819861986e-01 7.221751053511459295e-01 5.386198132991900644e-01
8.903333333333334210e-01 -1.201753400668534200e+00 7.629213392505384238e-03 2.492418074532467276e-01 7.137389426761915345e-01 5.481255612044300118e-01
8.960000000000000187e-01 -1.204885462982717703e+00 7.441333621327690315e-03 2.603647417741634107e-01 7.055927128501265910e-01 5.572463729158412260e-01
9.016666666666667274e-01 -1.208068183390363037e+00 7.235311866450191455e-03 2.710157997416578479e-01 6.977166287870218975e-01 5.660091178595267891e-01
9.073333333333333250e-01 -1.211299602208959714e+00 7.013255155729047202e-03 2.812468793338688822e-01 6.900930003128928902e-01 5.744378419133673308e-01
9.130000000000000338e-01 -1.214577888974314401e+00 6.777171847997903904e-03 2.911007126799730615e-01 6.827059392376849667e-01 5.825541618144933764e-01
9.186666666666667425e-01 -1.217901329658023224e+00 6.528986163667130707e-03 3.006130408831390599e-01 6.755410954578677796e-01 5.903776134254212771e-01
9.243333333333333401e-01 -1.221268315584123743e+00 6.270551821492377671e-03 3.098140332890431670e-01 6.685854887916824474e-01 5.979258854588279659e-01
9.300000000000000488e-01 -1.224677333764291554e+00 6.003665218050967950e-03 3.187295403019752005e-01 6.618273011630008140e-01 6.052150888185964250e-01
9.656666666666666732e-01 -1.247014711450137980e+00 4.239662672373235158e-03 3.694961925783848966e-01 6.232076467217227966e-01 6.459859144581431289e-01
1.001333333333333409e+00 -1.270674532948769642e+00 2.681250880716498468e-03 4.132881171543446031e-01 5.900367423603617434e-01 6.797314819458140089e-01
1.036999999999999922e+00 -1.295439833012541175e+00 1.850641202534270479e-03 4.520424860058842587e-01 5.610252465920960718e-01 7.082107872906939772e-01
1.072666666666666657e+00 -1.321145125281465438e+00 1.355163549606302250e-03 4.869094074888106749e-01 5.353050282045029862e-01 7.326041924272514994e-01
1.108333333333333393e+00 -1.347660349472465269e+00 1.024596595611827234e-03 5.186441740228024955e-01 5.122595148397334208e-01 7.537451139543466239e-01
1.144000000000000128e+00 -1.374880933332819355e+00 7.922612112014001690e-04 5.477781303221245235e-01 4.914329008057214954e-01 7.722447836775305774e-01
1.179666666666666641e+00 -1.402721271722321417e+00 6.233178079206105893e-04 5.747041920285258509e-01 4.724776049429684766e-01 7.885648489228718194e-01
1.215333333333333377e+00 -1.431110253315312164e+00 4.973570682406943744e-04 5.997239970600372061e-01 4.551218598232573131e-01 8.030623095107405351e-01
1.250999999999999890e+00 -1.459988082266553189e+00 4.015788473217441639e-04 6.230760070267449269e-01 4.391488107996552315e-01 8.160186022916918747e-01
1.286666666666666625e+00 -1.489303954785325290e+00 3.275686575995007642e-04 6.449531740204789143e-01 4.243824445231515474e-01 8.276592048669800805e-01
1.322333333333333361e+00 -1.519014320218322611e+00 2.695972355463960280e-04 6.655146218305775241e-01 4.106778214677752614e-01 8.381672539076492345e-01
1.358000000000000096e+00 -1.549081553567360769e+00 2.236543248862810421e-04 6.848936449495490741e-01 3.979141024504626589e-01 8.476932629726849910e-01
1.393666666666666609e+00 -1.579472924818145607e+00 1.868689161660308713e-04 7.032033769743282203e-01 3.859894515810230464e-01 8.563622147121177086e-01
1.429333333333333345e+00 -1.610159786936717685e+00 1.571464240708822676e-04 7.205409149076842379e-01 3.748172342552162362e-01 8.642788381633674799e-01
1.464999999999999858e+00 -1.641116927920586388e+00 1.329338347235076091e-04 7.369903919737612608e-01 3.643231304601494691e-01 8.715316023620721664e-01
1.500666666666666593e+00 -1.672322047902545350e+00 1.130633968096747300e-04 7.526253092393212496e-01 3.544429079424524232e-01 8.781957840693669359e-01
1.536333333333333329e+00 -1.703755332923756027e+00 9.664611814617511719e-05 7.675103620714487374e-01 3.451206823132757506e-01 8.843358541617326596e-01
1.572000000000000064e+00 -1.735399104370918044e+00 8.299772229472632702e-05 7.817028271652860516e-01 3.363075362123244538e-01 8.900073588795143209e-01
1.607666666666666577e+00 -1.767237528301388805e+00 7.158626137537022914e-05 7.952537292881047826e-01 3.279604177563166245e-01 8.952584141893467073e-01
1.643333333333333091e+00 -1.799256372647332736e+00 6.199447692133723726e-05 8.082087373656589024e-01 3.200412467150874352e-01 9.001309082751959290e-01
1.678999999999999826e+00 -1.831442803048421553e+00 5.389237693587399140e-05 8.206089256078455962e-01 3.125161862136311974e-01 9.046614751845055702e-01
1.714666666666666561e+00 -1.863785210108880763e+00 4.701701587230576934e-05 8.324913646074556528e-01 3.053550428098984471e-01 9.088822904154230109e-01
1.750333333333333297e+00 -1.896273062413001975e+00 4.115741249865458392e-05 8.438896570800944463e-01 2.985307700368491912e-01 9.128217248387872074e-01
1.786000000000000032e+00 -1.928896780802173971e+00 3.614318813161930820e-05 8.548343607437137726e-01 2.920190520226390030e-01 9.165048873345661429e-01
1.821666666666666545e+00 -1.961647630314969692e+00 3.183592630475221789e-05 8.653533459174078679e-01 2.857979552084934927e-01 9.199540759962345771e-01
1.857333333333333059e+00 -1.994517626888399953e+00 2.812254608695275980e-05 8.754721085146590642e-01 2.798476327927763574e-01 9.231891569071922765e-01
1.892999999999999794e+00 -2.027499456463350391e+00 2.491017919410737802e-05 8.852140333724970445e-01 2.741500737589932513e-01 9.262278830979165933e-01
1.928666666666666529e+00 -2.060586404567733343e+00 2.212218035901341546e-05 8.946006219119925218e-01 2.686888883071456569e-01 9.290861646702005539e-01
1.964333333333333265e+00 -2.093772294792605404e+00 1.969499894315412567e-05 9.036516889739484304e-01 2.634491235393263131e-01 9.317782986186688987e-01
2.000000000000000000e+00 -2.127051434850282696e+00 1.757571010209188755e-05 9.123855254345115684e-01 2.584171044786714999e-01 9.343171651858033222e-01
