# g E0 dE/E VOP ZXZ X
0.000000000000000000e+00 -9.999999999999991118e-01 8.881784197001252323e-16 1.971150556006873537e-08 9.999999999999986677e-01 -9.240288232360090911e-11
2.451612903225806536e-02 -1.000150260145677983e+00 5.644531539257709607e-09 2.269503198595695113e-12 9.998497398543028103e-01 1.225806451662388857e-02
4.903225806451613072e-02 -1.000601040582724144e+00 9.031249064770417680e-08 1.979930195674206324e-09 9.993989594180107128e-01 2.451612901719085399e-02
7.354838709677419262e-02 -1.001352341311132710e+00 4.572078562019982540e-07 4.877630775891229288e-09 9.986476586643936448e-01 3.677419388108235654e-02
9.806451612903226145e-02 -1.002404162330903237e+00 1.445010122957516973e-06 1.593020918369803108e-09 9.975958376941288508e-01 4.903225780921940252e-02
1.225806451612903303e-01 -1.003756503642037723e+00 3.527895527973074102e-06 2.217671573513896762e-08 9.962434964148656480e-01 6.129032211639064837e-02
1.470967741935483852e-01 -1.005409365244534614e+00 7.315590802817522512e-06 3.584807707088734716e-10 9.945906347565292016e-01 7.354838708951598469e-02
1.716129032258064679e-01 -1.007362747138396131e+00 1.355348393106535470e-05 2.950261799744986193e-08 9.926372527951118352e-01 8.580645200033293341e-02
1.961290322580645229e-01 -1.009616649323620052e+00 2.312282414748164364e-05 7.191360851601120296e-09 9.903833495802801812e-01 9.806452171768600956e-02
2.206451612903225779e-01 -1.012171071800205935e+00 3.704105163443869512e-05 5.241289754684907101e-10 9.878289281878490646e-01 1.103225806992797070e-01
2.451612903225806606e-01 -1.015026014568157553e+00 5.646230649299397120e-05 1.725948544949875763e-08 9.849739859694318644e-01 1.225806429684726806e-01
2.696774193548387433e-01 -1.018181477627470910e+00 8.267817680637479488e-05 1.623503374832119009e-08 9.818185222455966255e-01 1.348387101480983674e-01
2.941935483870967705e-01 -1.021637460978146228e+00 1.171187566720584923e-04 4.385571906826505257e-09 9.783625389865260313e-01 1.470967743136186445e-01
