# hx XI XX VOP
7.500000000000000000e-01 -8.115783028950218636e-08 9.351012200979453848e-01 8.692344044547439808e-08
7.666666507720947266e-01 -2.150026046643382927e-07 9.996722891275446887e-01 2.260009446253263832e-07
7.833333611488342285e-01 -2.572887282670244247e-07 9.998729383829143558e-01 2.657373747716462731e-07
8.000000119209289551e-01 -5.729791595632249823e-07 1.000047450168259910e+00 5.811452865600585938e-07
8.000000119209289551e-01 -5.338110330432854767e-07 1.000001073914159377e+00 5.414088568578279137e-07
8.016666769981384277e-01 -5.298687779653477037e-07 9.999890703368883305e-01 5.364418029785156250e-07
8.033333420753479004e-01 -8.380071763181007327e-07 9.999932837702067978e-01 8.468826613317048668e-07
8.050000071525573730e-01 -1.085716195559083275e-06 1.000000754229576350e+00 1.095235347747802734e-06
8.066666722297668457e-01 -9.273665877440606664e-07 9.999970660639792008e-01 9.338061013330900550e-07
8.083333373069763184e-01 -9.982274654651845935e-07 9.999999655709681523e-01 1.003344853867105257e-06
8.100000023841857910e-01 -1.143607080866804182e-06 9.999997493796329850e-01 1.147389411926269531e-06
8.116666674613952637e-01 -1.078725672731817298e-06 9.999987430939125677e-01 1.080334186553955078e-06
8.133333325386047363e-01 -1.478179051661587806e-06 1.000000008740586255e+00 1.477698484908529508e-06
8.149999976158142090e-01 -1.662552048753429546e-06 9.999999226952867026e-01 1.658995946396402132e-06
8.166666626930236816e-01 -1.870034517570395849e-06 1.000000080748907116e+00 1.862645149230957031e-06
8.183333277702331543e-01 -2.138220443925753500e-06 9.999999874380380849e-01 2.125898996840902555e-06
8.199999928474426270e-01 -2.067044596543166080e-06 9.999999921426829808e-01 2.051393190871664274e-06
8.216666579246520996e-01 -3.705408886056638096e-06 9.999999993428040357e-01 3.670652707565835726e-06
8.233333230018615723e-01 -4.932826733750061976e-06 9.999999982843618129e-01 4.877646764267495882e-06
8.249999880790710449e-01 -7.956272951969989293e-06 9.999999999662863015e-01 7.852911949157714844e-06
8.266666531562805176e-01 -1.493586502943067273e-05 9.999999999992907895e-01 1.471489667892456055e-05
8.283333182334899902e-01 -2.440079947507722835e-05 1.000000000000105249e+00 2.399583657597403885e-05
8.299999833106994629e-01 -1.156072657269135995e-01 1.000000000000000000e+00 1.147818217674889674e-01
8.316666483879089355e-01 -1.610188394882238194e-01 1.000000000000000000e+00 1.610475927591323853e-01
8.333333134651184082e-01 -1.967022476915447071e-01 1.000000000000000000e+00 1.983400732278823853e-01
8.349999785423278809e-01 -2.260347383732762006e-01 1.000000000000000000e+00 2.297273377577462306e-01
8.366666436195373535e-01 -2.512854255305447815e-01 1.000000000000000000e+00 2.573740730683007349e-01
8.383333086967468262e-01 -2.736168599690717573e-01 1.000000000000000000e+00 2.823777943849563599e-01
8.399999737739562988e-01 -2.937215764766118453e-01 1.000000000000000000e+00 3.053858131170272827e-01
8.416666388511657715e-01 -3.120531130052241475e-01 1.000000000000000000e+00 3.268178651730218043e-01
8.433333039283752441e-01 -3.289283261970336047e-01 1.000000000000000000e+00 3.469644188880920410e-01
8.450000286102294922e-01 -3.445794194365990881e-01 1.000000000000000000e+00 3.660362809896469116e-01
8.466666936874389648e-01 -3.591826521096007085e-01 1.000000000000000000e+00 3.841924220323562622e-01
8.483333587646484375e-01 -3.728759835350147211e-01 1.000000000000000000e+00 4.015562484661736598e-01
8.500000238418579102e-01 -3.857696334404498439e-01 1.000000000000000000e+00 4.182250648736953735e-01
8.500000238418579102e-01 -3.857696376829419793e-01 1.000000000000000000e+00 4.182250698407492528e-01
8.791666626930236816e-01 -5.375991873072012428e-01 1.000000000000000000e+00 6.457602791488170624e-01
9.083333611488342285e-01 -6.239620189640623371e-01 1.000000000000000000e+00 8.140103394786515345e-01
9.375000000000000000e-01 -6.822163725981207349e-01 9.999999999999998890e-01 9.537331238389015198e-01
9.666666388511657715e-01 -7.248701316870206357e-01 1.000000000000000000e+00 1.075512955586115371e+00
9.958333373069763184e-01 -7.577165827108807150e-01 1.000000000000000000e+00 1.184267948071161758e+00
1.024999976158142090e+00 -7.839051878776546189e-01 1.000000000000000000e+00 1.282664825518926133e+00
1.054166674613952637e+00 -8.053275936030828142e-01 1.000000000000000000e+00 1.372505009174346924e+00
1.083333373069763184e+00 -8.232017293202275043e-01 1.000000000000000000e+00 1.455115606387456406e+00
1.112499952316284180e+00 -8.383531652960095615e-01 9.999999999999998890e-01 1.531519184509912979e+00
1.141666650772094727e+00 -8.513642692206069285e-01 1.000000000000000000e+00 1.602490226427713882e+00
1.170833349227905273e+00 -8.626592539521049652e-01 1.000000000000000000e+00 1.668690214554468643e+00
1.200000047683715820e+00 -8.725553899963895965e-01 1.000000000000000000e+00 1.730668644110361587e+00
