# hx XI XX VOP
7.500000000000000000e-01 -3.722682162792673166e-08 7.576223302770636325e-02 3.170632320095138537e-07
7.683333158493041992e-01 2.401010820624093281e-07 5.263748214691008065e-02 1.310130909482595706e-06
7.866666913032531738e-01 2.203990318613673061e-07 -4.898219889238457359e-02 1.055297777183311234e-06
8.050000071525573730e-01 9.510924994099445584e-08 3.140064828810096992e-02 4.930081755546213873e-07
8.233333230018615723e-01 2.352892400914186055e-07 9.402732797956386834e-02 1.024559514070056184e-06
8.416666388511657715e-01 -1.961908197116446484e-07 9.933021650912894629e-02 6.439760591769124374e-07
8.600000143051147461e-01 1.306253066607129809e-07 2.787217209806463480e-01 4.534204431825158655e-07
8.783333301544189453e-01 -2.003038791358892866e-07 1.246665062501920995e-01 6.045311038537016956e-07
8.966666460037231445e-01 -3.814234646599652258e-06 1.618837357825109180e-01 1.004866094879540738e-05
9.150000214576721191e-01 2.355402773888135362e-07 1.975900212463743422e-01 5.040201581588921844e-07
9.333333373069763184e-01 -6.843346531237906674e-07 2.367621686361863487e-01 1.175850918537156405e-06
9.516666531562805176e-01 -4.376446525118827960e-07 2.975364810682563088e-01 5.784273751601607276e-07
9.700000286102294922e-01 -1.448759153673548697e-07 4.487052113516631358e-01 1.429225632955699947e-07
9.700000286102294922e-01 1.467951369775935174e-06 3.667155343108440269e-01 1.393495741402738107e-06
9.713333249092102051e-01 9.547702678990022118e-08 3.741111173548980484e-01 3.219949056066259305e-07
9.726666808128356934e-01 3.907813333172338241e-07 3.478549299272309936e-01 3.582507533233897680e-07
9.739999771118164062e-01 -1.503200130218457323e-06 3.876393340829596412e-01 1.291554421737123425e-06
9.753333330154418945e-01 9.096696658468460917e-07 3.950963965494968533e-01 7.556883058502773529e-07
9.766666889190673828e-01 4.361035266936541532e-07 -5.897827338223275984e-01 3.627922557100541628e-08
9.779999852180480957e-01 -9.453734027369086653e-07 4.105459256547216995e-01 7.278455568635252301e-07
9.793333411216735840e-01 -1.034001605120000395e-06 4.191745604684225524e-01 7.666790594367003907e-07
9.806666374206542969e-01 -2.675499803260136811e-08 -7.123220600652900858e-01 3.662502320352170443e-08
9.819999933242797852e-01 6.319413759717099413e-07 4.286373744395374219e-01 4.409522993859352789e-07
9.833333492279052734e-01 -9.522940572025316249e-07 4.443115439362214092e-01 6.268221367313623562e-07
9.846666455268859863e-01 -1.597406304475613389e-06 4.540783193408947649e-01 9.990794622487224674e-07
9.860000014305114746e-01 4.308578828091103041e-08 -4.419282788993940392e-02 7.427808974244504162e-08
9.873333573341369629e-01 5.446476339083616662e-07 4.663294123714895045e-01 2.982451809359359895e-07
9.886666536331176758e-01 -5.457998256774929807e-07 4.950865005510382000e-01 2.994244749252010591e-07
9.900000095367431641e-01 2.718092562806746139e-06 4.960557903283832060e-01 1.390521665515566924e-06
9.913333058357238770e-01 -6.246113769038519331e-06 5.077126451685098907e-01 3.019365392755796994e-06
9.926666617393493652e-01 -2.226278050412855143e-04 5.200735770468489783e-01 1.013710366341986202e-04
9.940000176429748535e-01 -3.340791182366822931e-01 5.527696863911145675e-01 1.649565903276968282e-01
9.953333139419555664e-01 -5.390333397009415828e-01 5.715576470336933834e-01 3.762619076967257947e-01
9.966666698455810547e-01 -5.965612234392219104e-01 5.868848504321639847e-01 4.730207017521105839e-01
9.980000257492065430e-01 -6.349958306716603218e-01 5.993087571809455616e-01 5.581694000728135707e-01
9.993333220481872559e-01 -6.631724287462604783e-01 6.098128126726001241e-01 6.360460316691189941e-01
1.000666618347167969e+00 -6.850262737071119989e-01 6.189242176869823586e-01 7.087427585970185184e-01
1.001999974250793457e+00 -7.026382113324689538e-01 6.269739826703156771e-01 7.775866963467119586e-01
1.003333330154418945e+00 -7.172313307056944476e-01 6.341837945011457034e-01 8.433841039755232138e-01
1.004666686058044434e+00 -7.295815126328017985e-01 6.407101948692385252e-01 9.066933641907194419e-01
1.006000041961669922e+00 -7.402091378157129586e-01 6.466683270584639986e-01 9.679145813373386531e-01
1.007333278656005859e+00 -7.494782549614412703e-01 6.521455050203261994e-01 1.027348926182560795e+00
1.008666634559631348e+00 -7.576533569844843274e-01 6.572101880237702920e-01 1.085244706669987291e+00
1.009999990463256836e+00 -7.649313819029065487e-01 6.619165638793143014e-01 1.141772892304484976e+00
1.009999990463256836e+00 -7.649315646209139397e-01 6.619167197604800545e-01 1.141773415843482686e+00
1.025833368301391602e+00 -8.154353867899788444e-01 7.008576738587460886e-01 1.744284836366014169e+00
1.041666626930236816e+00 -8.387824081794345021e-01 7.237474147087795684e-01 2.274112953771550760e+00
1.057500004768371582e+00 -8.528442414248463832e-01 7.398132278261183581e-01 2.756834167579905959e+00
1.073333382606506348e+00 -8.623309746041739610e-01 7.517632432259377939e-01 3.209443194945520883e+00
1.089166641235351562e+00 -8.688189763112338371e-01 7.603532585927879062e-01 3.618518805925653670e+00
1.105000019073486328e+00 -8.759771512607062993e-01 7.712988315059704503e-01 3.992753190428634191e+00
1.120833277702331543e+00 -8.753982017692951700e-01 7.689710962259994620e-01 4.475711806993170505e+00
1.136666655540466309e+00 -8.817371851388466908e-01 7.791769208333546581e-01 5.261511203283602001e+00
1.152500033378601074e+00 -8.803578496971802281e-01 7.762917373261761789e-01 6.197323376905121251e+00
1.168333292007446289e+00 -8.368545129360349666e-01 7.004309112297937290e-01 1.042016829252883703e+01
1.184166669845581055e+00 -8.645234701151777168e-01 7.475068208564497052e-01 8.206746693858747221e+00
1.200000047683715820e+00 -8.760116202481013081e-01 7.674611361321387326e-01 6.530909965369875003e+00
