# g E0 dE/E VOP ZXZ X
1.125000000000000000e+00 -1.361519302203947568e+00 9.414310706480529724e-06 2.942457467269247173e-01 5.125614664169251267e-01 7.546291873749906287e-01
1.149999999999999911e+00 -1.380563103343768860e+00 6.772992407060877401e-06 3.225308345619161132e-01 4.966504297103799259e-01 7.686197162242992542e-01
1.175000000000000044e+00 -1.399938639977034605e+00 5.022112802040713713e-06 3.456293072038809644e-01 4.820162154893088413e-01 7.812105741635643197e-01
1.199999999999999956e+00 -1.419613872370573571e+00 3.805617288531045257e-06 3.754797422271187735e-01 4.684620492719947515e-01 7.926265193551436106e-01
1.225000000000000089e+00 -1.439561616105846653e+00 2.940282364276415241e-06 3.996730292355489267e-01 4.558407808572076947e-01 8.030374165737447223e-01
1.250000000000000000e+00 -1.459758512806516029e+00 2.310544133970493557e-06 4.185516660642109033e-01 4.440346005957376829e-01 8.125791299576470283e-01
1.274999999999999911e+00 -1.480184484205479878e+00 1.686355390346084137e-06 4.497484247601106211e-01 4.329483287208164555e-01 8.213616907608968232e-01
1.300000000000000044e+00 -1.500821253789538900e+00 1.325862646459385042e-06 4.683743483142164821e-01 4.225038194868937502e-01 8.294749496296269786e-01
1.324999999999999956e+00 -1.521653255971342045e+00 1.056494712579971558e-06 4.847937237964491386e-01 4.126386944169704307e-01 8.369921221230897102e-01
1.350000000000000089e+00 -1.542666457656635792e+00 8.492050373369404039e-07 5.014262353581191434e-01 4.032939111512986452e-01 8.439796642568939689e-01
1.375000000000000000e+00 -1.563848324972759274e+00 6.607263268265759117e-07 5.501879182536331125e-01 3.944233121745503445e-01 8.504909184415524459e-01
1.399999999999999911e+00 -1.585187470564674239e+00 5.232749335382642923e-07 5.631383409053490885e-01 3.859878153464424977e-01 8.565711823941694059e-01
1.425000000000000044e+00 -1.606673680135105808e+00 4.158142329861147131e-07 5.892871313801475441e-01 3.779491841112909700e-01 8.622628042954700867e-01
1.449999999999999956e+00 -1.628297658111790502e+00 3.367166293038844131e-07 6.012765722744856101e-01 3.702786291148923992e-01 8.675993304034592679e-01
1.475000000000000089e+00 -1.650050954120618085e+00 2.755984601572882793e-07 6.132163643225724270e-01 3.629469194495111295e-01 8.726129049225284096e-01
1.500000000000000000e+00 -1.671925843228130315e+00 2.262707886146123743e-07 6.263615366753729763e-01 3.559292433517393106e-01 8.773310666055816887e-01
