# g E0 dE/E VOP ZXZ X
5.000000000000000000e-01 -1.063543914918588573e+00 4.654763625730376360e-07 1.417980641266975840e-05 9.342191555947242376e-01 2.586495187494385894e-01
5.430000000000000382e-01 -1.075183411401537503e+00 8.173973748180466366e-07 1.454362659424977783e-05 9.216192641056446533e-01 2.828069013297166978e-01
5.859999999999999654e-01 -1.087873757400276364e+00 1.471407194526785093e-06 1.029945862324984991e-05 9.076551357570666889e-01 3.075403108774836247e-01
6.290000000000000036e-01 -1.101641775026390713e+00 2.709739317928845187e-06 3.542214364275960705e-05 8.922154682590156538e-01 3.329512036761002602e-01
6.720000000000000417e-01 -1.116519272170927612e+00 4.771770970802124250e-06 7.692783176493582425e-06 8.751619622018266265e-01 3.591626637490630269e-01
7.150000000000000799e-01 -1.132543508243632591e+00 8.587887296957159988e-06 1.477925991577681695e-05 8.563221950659707371e-01 3.863235154835388263e-01
7.580000000000000071e-01 -1.149759718444466783e+00 1.517477746256352143e-05 4.039642475516754828e-08 8.354636658655690828e-01 4.146385917927394860e-01
8.010000000000000453e-01 -1.168222618529707990e+00 2.681147731045274327e-05 7.825929674624859688e-05 8.122893636399775019e-01 4.443611172156488043e-01
8.440000000000000835e-01 -1.187999048961300819e+00 4.869272778374437614e-05 9.337017800087736054e-04 7.864223107640717636e-01 4.758018225085623998e-01
8.870000000000000107e-01 -1.209173397370920666e+00 9.123161908259879165e-05 2.533554463964975741e-03 7.572687872393470965e-01 5.094753214561087429e-01
9.300000000000000488e-01 -1.231856693381774059e+00 1.766143295329059134e-04 5.335121115156607301e-03 7.239504974058413866e-01 5.461356945977725585e-01
9.323333333333333472e-01 -1.233133474715792710e+00 1.832947052369687281e-04 5.826064813564530570e-03 7.219930580767095485e-01 5.482378440891119142e-01
9.346666666666667567e-01 -1.234415155287792887e+00 1.902671238318865169e-04 6.114253493434665572e-03 7.200260589773093134e-01 5.503449675219108661e-01
9.370000000000000551e-01 -1.235701806933378943e+00 1.975124796022513344e-04 6.015920554091533194e-03 7.180316267558086718e-01 5.524761794851296148e-01
9.393333333333333535e-01 -1.236993400868886317e+00 2.050947251820400266e-04 6.570583472274778812e-03 7.160334943286024156e-01 5.546060041237925731e-01
9.416666666666666519e-01 -1.238289989687028081e+00 2.130136132606340218e-04 6.919105490383863771e-03 7.140122332346640066e-01 5.567551395954314364e-01
9.440000000000000613e-01 -1.239591606774482546e+00 2.212863224052918985e-04 7.243471900844501016e-03 7.119651010483933895e-01 5.589263831852842035e-01
9.463333333333333597e-01 -1.240898272110753764e+00 2.299428255741166533e-04 7.755170175787248071e-03 7.099396307933965033e-01 5.610693638436278219e-01
9.486666666666666581e-01 -1.242210054580653811e+00 2.389758761993089847e-04 8.077412613472674530e-03 7.078382765652483366e-01 5.632871869452651392e-01
9.510000000000000675e-01 -1.243527078515925366e+00 2.483361444771671977e-04 7.671799148487208619e-03 7.057318018817885230e-01 5.655050227488429559e-01
9.533333333333333659e-01 -1.244849179938976258e+00 2.582087530388026521e-04 8.222139703911094180e-03 7.036187394041261145e-01 5.677242383232582457e-01
9.556666666666666643e-01 -1.246176475491481916e+00 2.685558732052801298e-04 8.774738953390936319e-03 7.014981875292037872e-01 5.699458890431858826e-01
9.580000000000000737e-01 -1.247509058005331628e+00 2.793621937924162094e-04 8.689183711028249796e-03 6.993172635832557438e-01 5.722252551378705920e-01
9.603333333333333721e-01 -1.248846891909643375e+00 2.907188929352704063e-04 9.343495075376273204e-03 6.971409564409266624e-01 5.744942056251811646e-01
9.626666666666666705e-01 -1.250190036985414199e+00 3.026445652636239650e-04 9.958028955004451233e-03 6.949408296733390333e-01 5.767824175679314713e-01
9.650000000000000799e-01 -1.251538544694876798e+00 3.151689271112520833e-04 1.048163025073245956e-02 6.927222121500062890e-01 5.790842824299228253e-01
9.673333333333333783e-01 -1.252892523315928708e+00 3.282813889498932178e-04 1.038072336727325490e-02 6.904635516051885746e-01 5.814220934294421772e-01
9.696666666666666767e-01 -1.254254890453894156e+00 3.397382092638920412e-04 2.505829067223350887e-02 6.847107641158929336e-01 5.873607353090398719e-01
9.719999999999999751e-01 -1.255633292157070313e+00 3.435478126596558596e-04 3.772298138179055321e-02 6.783153142477007513e-01 5.939485369437964568e-01
9.743333333333333846e-01 -1.257026277336033449e+00 3.409876259748750231e-04 4.767286897402454870e-02 6.725312326432782983e-01 5.998922798762588160e-01
9.766666666666666829e-01 -1.258432234306014363e+00 3.334664996971678486e-04 5.580528975523546542e-02 6.674361212731464432e-01 6.051154740950933641e-01
9.789999999999999813e-01 -1.259850181601187114e+00 3.218982306492503909e-04 6.353482523588899200e-02 6.625003956812969275e-01 6.101632134013159625e-01
9.813333333333333908e-01 -1.261280114824864240e+00 3.064317255094168332e-04 7.092251063564551650e-02 6.577974798388571687e-01 6.149619242384578577e-01
9.836666666666666892e-01 -1.262720211568752360e+00 2.886713909317646090e-04 7.700233516573930237e-02 6.535007005361896937e-01 6.193353212801552266e-01
9.859999999999999876e-01 -1.264170462532284711e+00 2.688019241678545924e-04 8.320884131382236260e-02 6.493132594163935067e-01 6.235874270952264098e-01
9.883333333333332860e-01 -1.265630224641549617e+00 2.475358250054890625e-04 8.899317436716769336e-02 6.453501650190159866e-01 6.276020839351029723e-01
9.906666666666666954e-01 -1.267099136985399221e+00 2.253981613306249381e-04 9.451790076047007771e-02 6.415508039881027136e-01 6.314417897011845859e-01
9.929999999999999938e-01 -1.268576813471295806e+00 2.029875914623492986e-04 9.997286088962070716e-02 6.379063895131864559e-01 6.351162376214662952e-01
9.953333333333332922e-01 -1.270062999045121988e+00 1.808869510587737567e-04 1.049677314723217042e-01 6.343476138377063256e-01 6.386959663838731593e-01
9.976666666666667016e-01 -1.271557322455536987e+00 1.599380398927530405e-04 1.100442965964161385e-01 6.309166635594303241e-01 6.421389831902158951e-01
1.000000000000000000e+00 -1.273059548173293809e+00 1.413689691097330876e-04 1.147419485377596943e-01 6.275935094157285565e-01 6.454660387575734681e-01
1.024999999999999911e+00 -1.289595424868130502e+00 6.082221673374597578e-05 1.598716141708435567e-01 5.966278504230086988e-01 6.760659262879202824e-01
1.050000000000000044e+00 -1.306812622982737704e+00 3.355172447978196356e-05 1.971082424421487511e-01 5.712766649550120590e-01 7.005104362168712573e-01
1.074999999999999956e+00 -1.324590004674683907e+00 2.062092798602473324e-05 2.323142833130602825e-01 5.493757089825930251e-01 7.211295773923863672e-01
1.100000000000000089e+00 -1.342845774230187139e+00 1.358923512060249684e-05 2.642803754303681973e-01 5.300113995241657605e-01 7.389403406418382225e-01
